BMRB_ID,Protein,Excel_Condition_Provided,TauC_Exp_ns,Spindle_Field_MHz,Spindle_Condition_Found,TauC_Pred_ns,S2_Pearson_r,Is_Isotropic,Match_Type
50284,Galectin-3C in complex w/ ligand P,Default/Forced,6.97,600.0,_sample_conditions_1,6.94,0.8927032053986996,True,Topology (1:1)
50284,Galectin-3C in complex w/ ligand P,Default/Forced,6.97,800.0,_sample_conditions_1,7.011,0.8550479994718398,True,Topology (1:1)
4366,PNU-142372,Default/Forced,10.83,600.0,_conditions,11.179,0.9712567897724974,True,Topology (1:1)
5330,cellular retinol-binding protein type I: apo,Default/Forced,8.0,500.0,_cond_set_1,8.418,0.7233297924098323,True,Topology (1:1)
5330,cellular retinol-binding protein type I: apo,Default/Forced,8.0,600.0,_cond_set_1,8.091,0.4750338520064896,True,Topology (1:1)
50001,c-di-GMP–sequestering peptide (CSP) ,Default/Forced,3.8,600.0,_sample_conditions_1,3.696,0.9531172883722768,False,Topology (1:1)
27011,Domain 1.1 of the sigma(A) Factor,Default/Forced,6.13,600.0,_sample_conditions_1,7.176,0.7611941857475641,True,Topology (1:1)
27011,Domain 1.1 of the sigma(A) Factor,Default/Forced,6.13,850.0,_sample_conditions_1,7.06,0.6916100555788105,True,Topology (1:1)
17306,NR1C,Default/Forced,7.86,600.0,_NR1C_conditions,7.647,0.97650975683868,False,Topology (1:1)
5548,Bovine Pancreatic Polypeptide (bPP),Default/Forced,5.08,500.0,_sample_cond_1,6.896,0.9859259077780328,True,Topology (1:1)
19388,Protein-tyrosine Phosphatase A (MptpA),Default/Forced,12.12,600.0,_sample_conditions_1,10.325,0.9386168793283196,False,Topology (1:1)
16392,TEM-1,Default/Forced,12.41,500.0,_sample_conditions_1,12.972,0.831575165325263,False,Topology (1:1)
16392,TEM-1,Default/Forced,12.41,600.0,_sample_conditions_1,12.614,0.8497515104956327,False,Topology (1:1)
15451,OST_(On-SighT),Default/Forced,5.9,500.0,_sample_conditions,5.977,0.9728615994383838,True,Topology (1:1)
26511,HIV protease,Default/Forced,10.37,600.0,_sample_conditions_1,10.243,0.9355863927692976,True,Topology (1:1)
50212,110 kDa hexameric inorganic pyrophosphatase,Default/Forced,37.2,700.0,_sample_conditions_1,36.043,0.9185565979863256,True,Topology (1:1)
17226,truncated hemoglobin N,axially symmetric,10.0,500.0,_sample_conditions_1,10.346,0.9719542827281804,False,Topology (1:1)
17226,truncated hemoglobin N,axially symmetric,10.0,600.0,_sample_conditions_1,10.6,0.9780504615519316,False,Topology (1:1)
18388,"Cellulosomal CBMs (carbohydrate-binding modules), CtCBM11",Default/Forced,9.02,600.0,_sample_conditions_1,9.017,0.8078456470692789,False,Topology (1:1)
17046,Tryptophan repressor L75F mutant in holo-form,Default/Forced,10.45,600.0,_sample_conditions_1,9.856,0.965968121207144,True,Topology (1:1)
25025,NADH oxidase,Default/Forced,14.53,500.0,_sample_conditions_1,18.987,0.1427736520694999,False,Topology (1:1)
25025,NADH oxidase,Default/Forced,14.53,800.0,_sample_conditions_1,14.496,0.6090715711972021,False,Topology (1:1)
5154,"N-terminal domain of Tissue Inhibitor of Metalloproteinases-1,",Default/Forced,10.32,500.0,_condition_1,10.586,0.9277018834928952,True,Topology (1:1)
50283,Galectin-3C in complex w/ ligand M,Default/Forced,7.12,500.0,_sample_conditions_1,7.632,0.8787883808037374,True,Topology (1:1)
50283,Galectin-3C in complex w/ ligand M,Default/Forced,7.12,600.0,_sample_conditions_1,7.095,0.8702710209035146,True,Topology (1:1)
50283,Galectin-3C in complex w/ ligand M,Default/Forced,7.12,800.0,_sample_conditions_1,7.104,0.8567929087790057,True,Topology (1:1)
18389,"Cellulosomal CBMs (carbohydrate-binding modules), CtCBM11",Default/Forced,5.65,600.0,_sample_conditions_1,5.778,0.8946440090584358,False,Topology (1:1)
17010,Apo Tryptophan Repressor Protein (TrpR),Default/Forced,10.12,600.0,_sample_conditions_1,10.148,0.9751696354777636,True,Topology (1:1)
5991,Ets-1,Default/Forced,9.7,500.0,_Condition_1,9.684,0.9864122687853742,True,Topology (1:1)
27888,Apo β-lactamase BlaC,Default/Forced,13.81,850.0,_sample_conditions_1,13.681,0.7982673877869612,True,Topology (1:1)
27888,Apo β-lactamase BlaC,Default/Forced,13.81,600.0,_sample_conditions_1,13.611,0.7769350947860976,True,Topology (1:1)
15445,"15.5kD/NHPX protein, or simply 15.5K",Default/Forced,11.75,500.0,_sample_conditions_1,14.869,0.966725768881438,True,Topology (1:1)
15445,"15.5kD/NHPX protein, or simply 15.5K",Default/Forced,11.75,600.0,_sample_conditions_1,11.591,0.981093242720538,True,Topology (1:1)
26506,Rho GTPase Binding Domain of Plexin-B1,Default/Forced,16.5,600.0,_sample_conditions_1,10.42,0.6257184393015571,True,Topology (1:1)
26506,Rho GTPase Binding Domain of Plexin-B1,Default/Forced,16.5,800.0,_sample_conditions_1,9.795,0.6578960422425589,True,Topology (1:1)
18971,human Nedd4-1 WW3,isotropic,3.9,600.0,_sample_conditions_1,4.329,0.8769455701040393,True,Topology (1:1)
18971,human Nedd4-1 WW3,isotropic,3.9,800.0,_sample_conditions_1,4.208,0.8721150049177955,True,Topology (1:1)
18971,human Nedd4-1 WW3,isotropic,3.9,900.0,_sample_conditions_1,4.157,0.8619718809052093,True,Topology (1:1)
51413,"H4Kac bound BD1, linker, BD2",Default/Forced,16.0,600.0,_sample_conditions_1,19.121,0.9579757432994744,True,Topology (1:1)
51413,"H4Kac bound BD1, linker, BD2",Default/Forced,16.0,800.0,_sample_conditions_1,18.448,0.954167804584918,True,Topology (1:1)
5153,MMP-3(ΔC)-bound N-TIMP-1,Default/Forced,12.45,600.0,_condition_1,15.171,0.9267725233223074,True,Topology (1:1)
4390,"CC-chemokine eotaxin, polymer, 74 residues, 8347 Da",Default/Forced,5.09,500.0,_sample_conditions,5.36,0.962511177557552,True,Topology (1:1)
5549,"[Ala31, Pro32]-NEUROPEPTIDE Y",Default/Forced,8.22,500.0,_sample_cond_1,9.485,0.975804328782522,True,Topology (1:1)
5841,"kinase associated protein phosphatase,",Default/Forced,7.57,500.0,_condition_one,8.536,0.8769504653971927,False,Topology (1:1)
5841,"kinase associated protein phosphatase,",Default/Forced,7.57,600.0,_condition_one,8.299,0.6849372054386121,False,Topology (1:1)
26779,catalytic domain of the Cdc25B phosphatase,Default/Forced,12.6,800.0,_sample_conditions_1,12.79,0.980032836989818,False,Topology (1:1)
17041,Tryptophan repressor protein in holo-form,Default/Forced,10.12,600.0,_sample_conditions_1,10.094,0.9789374256850348,True,Topology (1:1)
